#Read position (bp)	Clipping profile
117.0	0.11159935830368976
118.0	0.10462439840970915
119.0	0.10462439840970915
120.0	0.10462439840970915
121.0	0.10462439840970915
122.0	0.09764943851572853
123.0	0.09764943851572853
124.0	0.10462439840970915
125.0	0.10462439840970915
126.0	0.10462439840970915
127.0	0.11159935830368976
128.0	0.11159935830368976
129.0	0.12554927809165098
130.0	0.1394991978796122
131.0	0.1464741577735928
132.0	0.1464741577735928
133.0	0.1464741577735928
134.0	0.1394991978796122
135.0	0.1394991978796122
136.0	0.1534491176675734
137.0	0.1534491176675734
138.0	0.1534491176675734
139.0	0.1534491176675734
140.0	0.1534491176675734
141.0	0.1464741577735928
142.0	0.1464741577735928
143.0	0.1394991978796122
144.0	0.18832391713747645
145.0	0.2720234358652438
146.0	0.24412359628932134
147.0	0.24412359628932134
148.0	0.24412359628932134
149.0	0.24412359628932134
150.0	0.23714863639534073
151.0	0.2301736765013601
152.0	0.2301736765013601
153.0	0.2301736765013601
154.0	0.2301736765013601
155.0	0.2301736765013601
156.0	0.22319871660737953
157.0	0.22319871660737953
158.0	0.22319871660737953
159.0	0.22319871660737953
160.0	0.2580735160772825
161.0	0.2580735160772825
162.0	0.2580735160772825
163.0	0.2580735160772825
164.0	0.24412359628932134
165.0	0.23714863639534073
166.0	0.2301736765013601
167.0	0.2301736765013601
168.0	0.2301736765013601
169.0	0.22319871660737953
170.0	0.22319871660737953
171.0	0.22319871660737953
172.0	0.22319871660737953
173.0	0.22319871660737953
174.0	0.22319871660737953
175.0	0.36269791448699173
176.0	0.36269791448699173
177.0	0.36269791448699173
178.0	0.36269791448699173
179.0	0.36269791448699173
180.0	0.3417730348050499
181.0	0.31387319522912743
182.0	0.2999232754411662
183.0	0.2999232754411662
184.0	0.2999232754411662
185.0	0.3068982353351468
186.0	0.2999232754411662
187.0	0.2929483155471856
188.0	0.2789983957592244
189.0	0.2720234358652438
190.0	0.2580735160772825
191.0	0.2092487968194183
192.0	0.19529887703145707
193.0	0.2092487968194183
194.0	0.19529887703145707
195.0	0.18832391713747645
196.0	0.18832391713747645
197.0	0.18832391713747645
198.0	0.18134895724349587
199.0	0.18134895724349587
200.0	0.18832391713747645
201.0	0.18134895724349587
202.0	0.18134895724349587
203.0	0.18134895724349587
204.0	0.18134895724349587
205.0	0.18134895724349587
206.0	0.18134895724349587
207.0	0.18134895724349587
208.0	0.17437399734951523
209.0	0.17437399734951523
210.0	0.17437399734951523
211.0	0.17437399734951523
212.0	0.17437399734951523
213.0	0.17437399734951523
214.0	0.17437399734951523
215.0	0.17437399734951523
216.0	0.18134895724349587
217.0	0.18134895724349587
218.0	0.18832391713747645
219.0	0.18134895724349587
220.0	0.18134895724349587
221.0	0.18134895724349587
222.0	0.17437399734951523
223.0	0.2301736765013601
224.0	0.2301736765013601
225.0	0.24412359628932134
226.0	0.4603473530027202
227.0	0.5021971123666039
228.0	0.5091720722605845
229.0	0.5021971123666039
230.0	0.516147032154565
231.0	0.5091720722605845
232.0	0.49522215247262324
233.0	0.5231219920485457
234.0	0.5231219920485457
235.0	0.5440468717304876
236.0	0.5649717514124294
237.0	0.5649717514124294
238.0	0.606821510776313
239.0	0.6695961498221386
240.0	0.6486712701401968
241.0	0.6626211899281579
242.0	0.6974959893980609
243.0	0.6835460696100998
244.0	0.6277463904582549
245.0	0.6486712701401968
246.0	0.6835460696100998
247.0	0.6974959893980609
248.0	0.7742205482318477
249.0	0.8090953477017506
250.0	0.8090953477017506
