"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_2938179"	1541.3610625	1499.3388125	1297.6508375	1168.38758125	1351.6376	1475.72125	1611.9604375	1281.13715625	1354.34208125	1334.8682125	1652.57875	1632.5483125	1547.57	1611.9604375	1346.2142	1505.664625
"ILMN_1222760"	495.48429375	447.21463125	501.98858125	343.85986875	518.84098125	490.34479375	471.853	347.0615875	352.63408125	456.8246	354.72424375	507.13303125	463.1787875	361.95381875	364.7329125	481.95138125
"ILMN_1225158"	6799.5575	6511.084625	6377.3095	6859.5449375	6998.21	6893.8591875	6962.8776875	6764.837125	6685.6085625	6591.0685	6998.21	6927.059125	6685.6085625	6893.8591875	6962.8776875	6799.5575
"ILMN_1234294"	128.1820625	142.7377625	133.01849375	132.75633125	166.79903125	159.21589375	133.747825	144.0709875	130.76800625	140.53864375	123.36474375	126.83335625	144.40739375	130.96285	131.88230625	128.10186875
"ILMN_3163211"	296.226525	306.98319375	279.37680625	280.3735125	307.39310625	280.78843125	315.86405	326.664175	304.87086875	301.81316875	347.0615875	275.6885125	318.52400625	321.374625	288.99533125	270.9667
"ILMN_2593117"	522.952875	564.52480625	464.00155	322.47270625	482.94526875	380.52413125	639.13488125	320.71545	344.2765125	574.73696875	636.37033125	447.21463125	583.35471875	462.26758125	437.728075	445.96159375
"ILMN_1244997"	167.3223	198.2510125	162.7807125	192.278725	204.60563125	174.6232625	191.93235625	208.7850375	212.7093	177.922875	157.73433125	149.23314375	172.71671875	193.79353125	204.9632	240.01421875
"ILMN_2804251"	240.40243125	212.3307375	222.806	251.70985625	310.246	237.89168125	212.92013125	291.433125	246.03025	188.35061875	234.8745	221.4735125	201.05835625	197.9066	225.30408125	240.5617625
"ILMN_2868927"	278.920525	242.07989375	257.48868125	237.06363125	330.29816875	252.718175	240.40243125	254.69883125	278.54705625	288.99533125	249.35498125	260.77003125	224.22981875	277.1950625	250.671775	226.0252
"ILMN_2685275"	18214.775	18760.23	20850.139375	21818.649375	18760.23	16589.97125	19059.6	19420.533125	18760.23	16589.97125	18214.775	17583.018125	18214.775	19059.6	18584.881875	19420.533125
"ILMN_1254554"	145.761225	152.49919375	146.0836625	146.50975625	130.36976875	148.0812	135.283975	159.54588125	123.59584375	158.796875	159.68008125	144.66973125	154.3985	156.6076	141.99598125	162.05531875
"ILMN_2660082"	541.17865	449.20795	547.94208125	515.20924375	487.7655125	448.44150625	461.68015625	511.37675625	610.14373125	586.2167	546.0745625	541.17865	484.564275	521.22874375	556.671325	457.3322875
"ILMN_1225374"	371.23356875	402.89021875	485.22894375	490.34479375	418.747925	435.0936125	364.7329125	543.3096125	441.69970625	487.7655125	430.2709875	432.2625375	393.53711875	390.08191875	481.95138125	482.94526875
"ILMN_2667614"	3725.17475	3852.391	2798.007875	2788.859125	3053.95425	3917.42275	4089.44975	2972.661125	2979.4065	2884.703625	3641.6975	4126.3891875	4054.2248125	3688.003875	2898.0708125	3147.1090625
"ILMN_2657921"	2028.299	1553.8566875	2209.1385	2112.686125	1895.6924375	1840.8434375	1445.528	2062.787125	1924.92825	2247.425625	1231.9370125	1972.582	1759.0605	1367.22803125	1955.9444375	2105.761875
